seq_ID	Species	Genus	Family	Order	Subclass	Class	Subphylum	Subkingdom	Kingdom
TCC719-28S-1	Reimeria sinuata	Reimeria	Gomphonemataceae	Cymbellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC720-28S-1	Cocconeis euglypta	Cocconeis	Cocconeidaceae	Achnanthales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC721-28S-1	Reimeria sinuata	Reimeria	Gomphonemataceae	Cymbellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC722-28S-1	Fragilaria gracilis	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC723-28S-1	Reimeria sinuata	Reimeria	Gomphonemataceae	Cymbellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC724-28S-1	Achnanthidium minutissimum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC725-28S-1	Gomphonema narodoense	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC726-28S-1	Achnanthidium minutissimum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC727-28S-1	Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC728-28S-1	Fragilaria gracilis	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC729-28S-1	Fragilaria gracilis	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC732-28S-1	Mayamaea permitis	Mayamaea	Sellaphoraceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC733-28S-1	Achnanthidium minutissimum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC734-28S-1	Gomphonema narodoense	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC736-28S-1	Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC737-28S-1	Gomphonema acuminatum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC738-28S-1	Sellaphora seminulum	Sellaphora	Sellaphoraceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC739-28S-1	Nitzschia acidoclinata	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC740-28S-1	Gomphonema rosenstockianum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC107-Rbcl-1	Craticula accomoda	Craticula	Stauroneidaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC139-1-Rbcl-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC139-2-Rbcl-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC139-3-Rbcl-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC301-Rbcl-1	Fragilaria crotonensis	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC302-Rbcl-1	Fragilaria crotonensis	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC304-Rbcl-1	Fragilaria crotonensis	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC306-Rbcl-1	Ulnaria ulna	Ulnaria	Fragilariaceae	Fragilariales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC353-Rbcl-1	Pantocsekiella costei	Pantocsekiella	Stephanodiscaceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC355-Rbcl-1	Stephanodiscus minutulus	Stephanodiscus	Stephanodiscaceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC356-Rbcl-1	Stephanocyclus meneghinianus	Stephanocyclus	Stephanodiscaceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC357-Rbcl-1	Stephanocyclus meneghinianus	Stephanocyclus	Stephanodiscaceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC358-Rbcl-1	Stephanocyclus meneghinianus	Stephanocyclus	Stephanodiscaceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC359-Rbcl-1	Stephanocyclus meneghinianus	Stephanocyclus	Stephanodiscaceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC360-Rbcl-1	Stephanocyclus meneghinianus	Stephanocyclus	Stephanodiscaceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC362-Rbcl-1	Asterionella formosa	Asterionella	Fragilariaceae	Fragilariales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC364-Rbcl-1	Conticribra weissflogii	Conticribra	Thalassiosiraceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC365-Rbcl-1	Fragilaria cf. nanoides	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC366-Rbcl-1	Mayamaea permitis	Mayamaea	Sellaphoraceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC367-Rbcl-1	Fragilaria perminuta	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC427-Rbcl-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC428-Rbcl-1	Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC433-Rbcl-1	Gomphonema lagenula	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
