Kigdom	phylum	Class	Order	Family	Genus	Species	Subspecies	TaxID
Eukaryota	Chordata	Unassigned	Testudines	Chelidae	Chelodina	Chelodina novaeguineae	Unassigned	200900
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Mauremys	Mauremys caspica	Unassigned	202459
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Mauremys	Mauremys rivulata	Unassigned	202460
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Batagur	Batagur affinis	Batagur affinis edwardmolli	2034197
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Chelonoidis	Chelonoidis vandenburghi	Unassigned	2039268
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Chelonoidis	Chelonoidis microphyes	Unassigned	2039269
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Emys	Emys orbicularis	Emys orbicularis orbicularis	204803
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Sacalia	Sacalia bealei	Unassigned	204942
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Hardella	Hardella thurjii	Unassigned	204954
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Cyclemys	Cyclemys sp. No. 36654	Unassigned	204955
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Cuora	Cuora zhoui	Unassigned	204956
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Notochelys	Notochelys platynota	Unassigned	204958
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Geoemyda	Geoemyda japonica	Unassigned	204960
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Mauremys	Mauremys annamensis	Unassigned	204961
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Cuora	Cuora flavomarginata	Unassigned	204965
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Cuora	Cuora flavomarginata	Cuora flavomarginata evelynae	204966
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Cuora	Cuora flavomarginata	Cuora flavomarginata flavomarginata	204967
